Диск на PS 4,2 200  ₽,https://www.avito.ru/ramenskoe/igry_pristavki_i_programmy/disk_na_ps_4_1762364561
Sony PS4,600  ₽,https://www.avito.ru/ramenskoe/igry_pristavki_i_programmy/sony_ps4_1927144246
Resident evil 3 remake PS4,1 000  ₽,https://www.avito.ru/ramenskoe/igry_pristavki_i_programmy/resident_evil_3_remake_ps4_1899186397
"Игры для ps3, ps4 ps vita",700  ₽,https://www.avito.ru/ramenskoe/igry_pristavki_i_programmy/igry_dlya_ps3_ps4_ps_vita_1927205795
Игры для PS4 в ассортименте. Фото 03\05\20,500  ₽,https://www.avito.ru/ramenskoe/igry_pristavki_i_programmy/igry_dlya_ps4_v_assortimente._foto_030520_974118488
"Сеть магазинов ""СкупкА КомиССионкА"".",400  ₽,https://www.avito.ru/komissionka?gdlkerfdnwq=102&shopId=47658&page_from=from_items_list&iid=974118488
Игры для ps4,2 500  ₽,https://www.avito.ru/ramenskoe/igry_pristavki_i_programmy/igry_dlya_ps4_1351680623
Игра ps4 horizon zero dawn,800  ₽,https://www.avito.ru/ramenskoe/igry_pristavki_i_programmy/igra_ps4_horizon_zero_dawn_1835257294
"Игры на дисках для PS4. Fifa 15, 16, 17, 18",1 000  ₽,https://www.avito.ru/ramenskoe/igry_pristavki_i_programmy/igry_na_diskah_dlya_ps4._fifa_15_16_17_18_1963197382
Геймпад PS4 DoubleShock\NeW,600  ₽,https://www.avito.ru/ramenskoe/igry_pristavki_i_programmy/geympad_ps4_doubleshocknew_1924836848
